Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
CG1827,FBgn0033431,HuDis670,,,,FBgn0033431,CG1827
CG18278,FBgn0033836,HuDis670,,,,FBgn0033836,CG18278
CG1847,FBgn0030345,HuDis670,,,,FBgn0030345,CG1847
CG1885,FBgn0030066,HuDis670,,,,FBgn0030066,Uros1
CG1909,FBgn0039911,HuDis670,,,,FBgn0039911,CG1909
CG2107,FBgn0035383,HuDis670,,,,FBgn0035383,CPT2
CG2118,FBgn0039877,HuDis670,,,,FBgn0039877,Mccc1
CG2292,FBgn0033479,HuDis670,,,,FBgn0033479,PIG-N
CG2658,FBgn0024992,HuDis670,,,,FBgn0024992,Spg7
CG2807,FBgn0031266,HuDis670,,,,FBgn0031266,Sf3b1
CG2852,FBgn0034753,HuDis670,,,,FBgn0034753,CG2852
CG30022,FBgn0050022,HuDis670,,,,FBgn0050022,CG30022
CG30100,FBgn0050100,HuDis670,,,,FBgn0050100,CG30100
CG3021,FBgn0040337,HuDis670,,,,FBgn0040337,CG3021
CG30493,FBgn0050493,HuDis670,,,,FBgn0050493,Coq9
CG30496,FBgn0050496,HuDis670,,,,FBgn0050496,CG30496
CG31148,FBgn0051148,HuDis670,,,,FBgn0051148,Gba1a
